id,created_at,text
33,Wed Jan 24 16:30:00 +0000 2024,"கமலுக்கு கனிமொழி வைத்த செக்!... கை விரித்தாரா, CM ஸ்டாலின்?
#trending #updatenews360 #breakingnews #tnpolitics #dmk #tngovt #latestnews #mkstalin #trendingnews #exclusive #specialstory #kanimozhi #stalin #kamal #kamalahassan #dmkfails #dmknews #bjp 
https://t.co/ySZcUznxId https://t.co/W6lHN5PEHP"
34,Wed Jan 24 16:30:00 +0000 2024,"கமலுக்கு கனிமொழி வைத்த செக்!... கை விரித்தாரா, CM ஸ்டாலின்?
#trending #updatenews360 #breakingnews #tnpolitics #dmk #tngovt #latestnews #mkstalin #trendingnews #exclusive #specialstory #kanimozhi #stalin #kamal #kamalahassan #dmkfails #dmknews #bjp https://t.co/G44TfihUgB"
35,Wed Jan 24 16:28:42 +0000 2024,One more By #DMK 📈
36,Wed Jan 24 16:18:26 +0000 2024,"தலைமை வழக்கறிஞர்கள்
அடுத்தடுத்து ராஜினாமா!
#TamilNadu
#TamilNaduGoverment #Advocate #Lawyers #ChennaiHighcourt #HighCourt #TamilNews #Mkstalin #Dmk #Resignation https://t.co/5rDfQ06MQj"
37,Wed Jan 24 16:17:22 +0000 2024,"கலகம் செய்ய காத்திருக்கிறார் கனிமொழி.. நேரம் கிடைத்தால் எகிறி அடிப்பார்  
#dmksalemmanadulive #salemdmkmanadu #udhayanidhi #salem #manadu #mkstalin #udhaynidhistalin #dmk #ஸ்டாலின் #திமுக #இளைஞரணிமாநாடு #DMK #NewsJ 
https://t.co/CwGWkFwWfP"
38,Wed Jan 24 16:15:00 +0000 2024,"https://t.co/zA6xEIH4VD
உளுந்தூர்பேட்டை இளம்பெண்ணை பற்றி ஒரு பத்திரிகையாளராவது பேசினார்களா? - Savukku Shankar | Ep 93

#savukkushankar #kilambakkambusterminus #annamalai #mkstalin #dmk #bjp #jallikattustadium 
@SavukkuOfficial @MuthaleefAbdul"
39,Wed Jan 24 16:09:49 +0000 2024,"🔊#MKStalin opens the #KalaingarArena in #Madurai

🔊HC directs session court to consider bail of #DMK MLA's son and daughter-in-law

🔊Two workers die in fireworks unit blast

WATCH | A brief #news bulletin from the #TamilNadu bureau of @NewIndianXpress by @amalrajreports https://t.co/3EloLmMqZf"
40,Wed Jan 24 16:05:35 +0000 2024,"சேலம் மாநாடு - வேர்ல்ட் ரெக்கார்டு உருட்டு | #Teashop | #SalemMaanadu | #Politics | #DMK | #awards |

Link - https://t.co/dYCQavcd2i"
41,Wed Jan 24 16:05:27 +0000 2024,"Taking a dig at the ruling DMK government, TN BJP president K Annamalai on Wednesday said for DMK, social justice is a stage talk and in reality, they are far from delivering it.

Read: https://t.co/f8FwkFhTsN

#TNBJP #Annamalai #DMK #DMKGovt #TamilNadu"
42,Wed Jan 24 16:05:26 +0000 2024,"DMK Govt's ""Fact-Checking Unit"" Becomes Butt Of Jokes After Its ""Fact-Check"" On Khelo India Games Food Shortage Goes Wrong, Gets Called Out For Peddling Fake Narrative 

#DravidianModel #FactChecking #DMK #KheloIndiaYouthGames2023 

 https://t.co/LUFe1H87qx"
43,Wed Jan 24 16:00:23 +0000 2024,"நம் நம்பிக்கை🏴🚩💪

#இளந்தலைவர்
#anaikkaduudhayaannafan

@Udhaystalin 
@Anbil_Mahesh @TRBRajaa @Joel_Dmk @rajiv_dmk @Therbogipandi @udhayanithieee @arivalayam @DMKITwing @DMKThanjavur 

#DMK #DMK4TN #DMKYW4StateRights https://t.co/piCScHBlMD"
44,Wed Jan 24 15:58:02 +0000 2024,"இன்றைய தமிழகத்தின் அரசியல் நிலை #Dmk அல்லது #Admk என்று இருந்தது முற்காலத்தில், ஆனால் இவ் இரு கட்சிகளும் ஒரு கட்சியை அதாவது #BJP யை எதிர்க்கிறது என்றால் தற்போது தான் சரியான அரசியல்  நடக்கிறது என்பதை இதன் மூலம் புரிந்து கொள்ள முடிகிறது.#TamilNadu #TNpolitical #TNelectionsituation"
45,Wed Jan 24 15:56:17 +0000 2024,"ஏப்ரலில் நாடாளுமன்ற தேர்தல் - தயாராகும் தமிழ்நாடு

#Election2024 #Tamilnadu #DMK #CMMKStalin #AIADMK #EPS #EdappadiPalanisamy #Spotlight #NewsTamil24x7 https://t.co/zHc494cfbt"
46,Wed Jan 24 15:55:54 +0000 2024,"திமுக எம்.எல்.ஏவின் மகன், மருமகளால் பாதிக்கப்பட்டுள்ள பட்டியல் சமூக பெண் #dmk #dmkmla #dmkmlason #dmkissue #torture #dalitgirl #antomadhivanan @sansbarrier 
https://t.co/BJzjDWl1Hq https://t.co/ZvSnTPgsol"
47,Wed Jan 24 15:48:34 +0000 2024,"#urimaikural || திமுக தலைமையை பிடிக்கப்போவதாக சூசகமாக சொல்கிறாரா கனிமொழி?  
#dmksalemmanadulive #salemdmkmanadu #udhayanidhi #salem #manadu #mkstalin #udhaynidhistalin #dmk #ஸ்டாலின் #திமுக #இளைஞரணிமாநாடு #DMK #NewsJ 
https://t.co/F4Cyi01kKF"
48,Wed Jan 24 15:48:27 +0000 2024,"கூட்டணியில் இருந்து வெளியேறிய மம்தா? ""ஊதி ஊதி பெரிதாக்காதீர்கள்.. அதெல்லாம் ஒன்றும் ஆகாது..!""

#RSBharathi #DMK #INDIAAlliance #MamataBanerjee #NewsTamil24x7 https://t.co/NOF7ITpWsI"
49,Wed Jan 24 15:46:35 +0000 2024,"மாஸாக நடந்து முடிந்த மதுரை ஜல்லிக்கட்டு.. சிறப்பாக நடத்தி முடித்தது எப்படி? அமைச்சர் மூர்த்தி பேட்டி

#MinisterMoorthy #DMK #Jallikattu #Madurai #KeelakaraiJallikattu #NewsTamil24x7 https://t.co/pBb42kLN4q"
50,Wed Jan 24 15:42:00 +0000 2024,"Have some shame @BJP4India @annamalai_k 
This will only happen if #BJP comes to power in #TamilNadu 

#DMK"
51,Wed Jan 24 15:37:26 +0000 2024,"'@anbu clearly @arivalayam #DMK is converting 
#Jallikattu  as money flowing business model/sport  Don't know whether it is good or bad? 
but sad thing is 
 #Jallikattu won't be cultural- traditional - devotional -village identity  of us in near future"
52,Wed Jan 24 15:36:17 +0000 2024,"#salem #dmk #pmk

Follow me 👉 @MySalemCity https://t.co/qqq8uI6qwS"
53,Wed Jan 24 15:26:16 +0000 2024,"ராமர் கோயில் திறப்பில் திமுக
அரசியல் செய்கிறது!
#TamilisaiSoundarajan #Tamilisai
#TamilNaduBjp #Dmk #TamilNadu #TamilNews #Ayodhya #AyodhyaRamMandir https://t.co/q6XMnWgf9E"
54,Wed Jan 24 15:25:20 +0000 2024,"Click the link to watch #Murasarangam in @MalaimurasuTv on 
2024 தேர்தல் களம் - தீவிரம் காட்டும் #திமுக, #அதிமுக - பலன் தருமா கட்சிகளின் வியூகங்கள்... #DMK vs #AIADMK #MKStalin #EdappadiPalaniswami
#BJP #Annamalai #Elections2024
#Congress #NTK #Seeman
https://t.co/H1zCtUp3eA"
55,Wed Jan 24 15:22:44 +0000 2024,"""கடவுள் நம்பிக்கை கிடையாது""
#UdhayanithiStalin #DMK https://t.co/Bn8AJlV9WE"
56,Wed Jan 24 15:15:11 +0000 2024,"திமுகவில் உதயநிதிக்கு முக்கியத்துவம் ஏன்?.... கொள்கைக்கு எதிரா செயல்படுகிறது திமுக!. #dmk #Admk #udhayanidhistalin #mkstalin #dmkgovernment #kanimozhi #karunanidhi #tamilnadu #nextcm @sansbarrier 
https://t.co/T7cB1Au14v https://t.co/xvrSRxyDVD"
57,Wed Jan 24 15:11:25 +0000 2024,"Daily People suffer under #DMK Govt. 

Elect a Clown. Expect a Circus 🤡"
58,Wed Jan 24 15:10:25 +0000 2024,"Your vote 2024 election?
#BJP #Congress  #2024Election  #DMK #ADMK"
59,Wed Jan 24 15:05:49 +0000 2024,"கோட்டையை தவறவிட்ட Udhayanidhi ! வாக்களித்த மக்கள் கொந்தளிப்பு ! 

#udhayanidhistalin #udhayanithi #udhayanidhi #chepauk #triplicane #Chintadripet #people #karunanidhi #kalaignar #chennai #peopleofchennai #slum #slumarea #mkstalin #CMstalin #dmk #DMK #poorpeople #chennaipoorlife https://t.co/gDIuImAgQr"
60,Wed Jan 24 15:04:01 +0000 2024,"The Reality Behind DMK's ""World Record"": Yet Another 'EVR UNESCO Award' Moment? 

#DMK #DravidianModel #DMKYouthConference #DMKITWING #UdhayanidhiStalin #MKStalin #WorldRecord #Salem 

 https://t.co/3GiUjrfnRe"
61,Wed Jan 24 15:01:38 +0000 2024,"கோவில் கட்டியதால் மக்கள் பாஜக பக்கம் போய்விடுவார்களா? எடப்பாடி பழனிசாமி அதிரடி கருத்து!

#UpdateNews | #Salem | #EdappadiPalaniswami | #AIADMK | #DMK | #INDIA | #Alliance | #BJP | #TamilNews | #UpdateNews360
https://t.co/dQjxmpkV73"
62,Wed Jan 24 15:01:33 +0000 2024,"கோவில் கட்டியதால் மக்கள் பாஜக பக்கம் போய்விடுவார்களா? எடப்பாடி பழனிசாமி அதிரடி கருத்து!

#UpdateNews | #Salem | #EdappadiPalaniswami | #AIADMK | #DMK | #INDIA | #Alliance | #BJP | #TamilNews | #UpdateNews360
https://t.co/0VJDGAelC2"
63,Wed Jan 24 15:00:03 +0000 2024,"RED LIGHT AREA...திமுகவுக்கு ஷாக் கொடுத்த ஹெச் ராஜா!
#trending #bjp #hraja #annamalai #pmmodi #ayodhyarammandir #ramartemple #dmk #mkstalin #udhayanidhistalin #rsbharathi #tnpolitics #tngovt #breakingnews #latestnews #updatenews360
https://t.co/isY6xZ60Sf"
64,Wed Jan 24 15:00:02 +0000 2024,"RED LIGHT AREA...திமுகவுக்கு ஷாக் கொடுத்த ஹெச் ராஜா!
#trending #bjp #hraja #annamalai #pmmodi #ayodhyarammandir #ramartemple #dmk #mkstalin #udhayanidhistalin #rsbharathi #tnpolitics #tngovt #breakingnews #latestnews #updatenews360
https://t.co/y5WCw9FB8s"
65,Wed Jan 24 15:00:00 +0000 2024,"திமுக கொள்கையை புதுப்பிக்க வேண்டும்

link : https://t.co/PGl6wDvwNP

#DMK #ADMK #conference #LokSabhaElection2024 #politics #savukkushankar #savukkumedia #savukuonline #savukkunews @SavukkuOfficial | @MuthaleefAbdul https://t.co/Ol0BqmrhD3"
66,Wed Jan 24 14:54:49 +0000 2024,"கீழக்கரை ஜல்லிக்கட்டு நிறைவு

#JallikattuStadium | #Jallikattu2024 | #DMK https://t.co/uwZT00j7FV"
67,Wed Jan 24 14:52:04 +0000 2024,"DMK is now acting like a B team to the BJP. Who knows, the BJP might include Mr. Dayanidhi Maran and Madame Kanimozhi in the cabinet after the election. The DMK is now not opposing the BJP like they did earlier, which is why. #DMK #BJP #MKStalin #Annamalai"
68,Wed Jan 24 14:42:13 +0000 2024,"#DMKFAILS #DMKCORRUPTION #public #TamilnaduNews #tamilnadu #india #against #DMK
#spvarmy #ADMK_CBE https://t.co/kqbzGMtWR8"
69,Wed Jan 24 14:39:55 +0000 2024,"பச்சைப் பொய்யைக் கூறும் திமுக: எடப்பாடி பழனிசாமி குற்றச்சாட்டு!

#eps #admk #dmk #neetexam #KamadenuTamil https://t.co/d8P7278rFL"
70,Wed Jan 24 14:38:28 +0000 2024,"நீட் தேர்வு விலக்கு என்று லட்சக்கணக்கான வர்களிடம் கையெழுத்து பெற்ற அட்டை மாநாடு முழுவதும் சிதறிக்கிடக்கிறது.. மாநாட்டில் நிறைவேற்றப்பட்ட ஒரு தீர்மானம் கூட மக்களுக்கு பயனுள்ளது அல்ல என இபிஎஸ் குற்றச்சாட்டு

#Salem | #ADMK | #DMK | #EPS | #EdappadiPalaniswami | https://t.co/huqVoXOwa5"
