id,created_at,text
44,Mon Jan 29 14:53:58 +0000 2024,"ஊருக்கே தெரியும் கும்பிடு போடுவதில் டிகிரி கணக்கில்
எப்படி குனியனும், எவ்வளவு 
வளையம்னு டாக்டர் பட்டம் வாங்கினதே நீங்க தானடா..

நீங்களே கூப்பிட்டாலும்
உங்க கூட ஓவுக்கும், உவுக்கும் 
இங்கு யாரும் தயாரா இல்லை..

#EnMannEnMakkal   #ADMK #DMKFiles3 #EdappadiPalaniswami #Edappadi https://t.co/DXxws6BwD0"
45,Mon Jan 29 14:49:57 +0000 2024,"40 தொகுதியிலும் இரட்டை இலை!
#EPS #ADMK #EdappadiPalanichamy #loksabaelection
https://t.co/N0mxJZs2S0 https://t.co/6WCd1Mb4uq"
46,Mon Jan 29 14:49:43 +0000 2024,"``10 ஆண்டுக்கால ஆட்சியில் தமிழ்நாட்டுக்கு பாஜக செய்த துரோகங்களை அம்பலப்படுத்துவோம்!"" 

- முன்னாள் அமைச்சர் அண்ணன் திரு D.ஜெயக்குமார் அவர்கள்
@djayakumaroffcl #ADMK #BJP https://t.co/LHJqLQYyK0"
47,Mon Jan 29 14:41:05 +0000 2024,"In all surveys we can see Bjp will surpass Admk in 2024 Election.

Chanakya Survey by Pandey.

🌞 DMK+   :  32%
🪷 BJP+      : 22%
☘️ ADMK+ : 21%
🌴 Others+: 25%

Probably this is last  big election for Admk.

#Bjp #Admk #Dmk #EnMannEnMakkal #Annamalai #Stalin https://t.co/f6qubwQeTR"
48,Mon Jan 29 14:33:32 +0000 2024,"Amitshah முன்பு அசிங்கப்பட்ட Edappadi K.Palaniswami !

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal #palanisaamy https://t.co/f4acpAFB51"
49,Mon Jan 29 14:31:52 +0000 2024,"இவனுங்க ஆட்சியில இல்லனாலும் மக்களுக்கு தொல்லை தான்..🤦🤦

#கொலைகாரா_அதிமுக
#ADMK #AIADMK https://t.co/GevHUnz2bv"
50,Mon Jan 29 14:30:33 +0000 2024,"'@news7tamil #Dmk ❌
#Admk❌
#BJP athu list laiye illa. 🤭🤭😂😂

#TMK 🔥🔥💯💯 Thalaivare @actorvijay na.."
51,Mon Jan 29 14:29:18 +0000 2024,"இவனுங்க ஆட்சியில இல்லனாலும் மக்களுக்கு தொல்லை தான்..🤦🤦

#கொலைகாரா_அதிமுக
#AIADMK #ADMK
#AishwaryaRajinikanth https://t.co/4WfKgAwQxP"
52,Mon Jan 29 14:20:16 +0000 2024,"தமிழ்நாட்டில் மூன்றாவது அணி அமையாது

பாஜக ஒரு பொருட்டே அல்ல; இங்கு திமுக அதிமுக தான் முக்கியம் - திருமாவளவன்

#Thirumavalavan | #VCK | #DMK | #ADMK | #BJP https://t.co/g5D9Up1InY"
53,Mon Jan 29 14:19:23 +0000 2024,"'@Praveengiddy @PraveenNag98084 This bunch of #Admk fellas have not learnt their lessons even after seeing release of #DMKFiles ,not realising #AdmkFiles could be a sequel to former🤣"
54,Mon Jan 29 14:17:57 +0000 2024,"#JUSTIN | தமிழ்நாட்டில் மூன்றாவது அணி அமையாது!

பாஜக ஒரு பொருட்டே அல்ல; திமுக &amp; அதிமுக தான் இங்கேமுக்கியம்!

 - திருமாவளவன்  

https://t.co/VkcQSRRy0E | #Thirumavalavan | #VCK | #DMK | #ADMK | #BJP | #TamilNadu | #ITamilNews https://t.co/hT0QCo2fOK"
55,Mon Jan 29 14:17:08 +0000 2024,'@Praveengiddy I expect a vertical split in @ADMKofficial much before #LS2024Election campaign begins which will help smoke out #DMK's sympathisers within #ADMK and cause a mini-revolt within party. @KovaiSathyan @EPSTamilNadu @mafoikprajan @SPVelumanicbe @djayakumaroffcl @sansbarrier
